标题,详细描述,预计开始,预计结束,预计工时(h)
"Docker环境与项目脚手架","初始化项目目录结构,git仓库,配置.gitignore/.dockerignore,编写Dockerfile(多阶段构建/CPU-only PyTorch/gosu权限降级/HEALTHCHECK/exec形式CMD确保SIGTERM递达uvicorn),docker-compose.yml(5服务:kefu-agent/PostgreSQL/Redis/Prometheus/Grafana含健康检查+资源限制+日志轮转),docker-entrypoint.sh,验证容器启动和跨服务互通",6月1日,6月1日,3
"配置管理与数据库设计","基于Pydantic Settings实现Settings类(80+配置项:LLM/Embedding/检索/Token预算/服务端口/Gateway认证/Nacos注册/Redis/业务API超时),validate_config启动校验函数(warnings/errors区分+生产环境弱凭证拒绝启动+Token预算超限告警),_safe_int/_safe_float安全类型转换,JWT密钥三级加载(Nacos gateway-service.yaml→环境变量→开发默认);数据库9张表完整设计(tenants/conversations/messages/feedbacks/handoff_tickets/faqs/documents/sync_logs/tool_call_logs)含字段约束和索引策略,SQLAlchemy ORM模型,延迟初始化引擎(连接池pool_size=10/max_overflow=20/pool_recycle=1800/pool_pre_ping/pool_timeout=30),init_db自动建表+_ensure_indexes补全索引(IF NOT EXISTS兼容旧库)",6月1日,6月2日,5
"LLM安全调用封装与容错机制","实现safe_llm_invoke/safe_llm_stream(指数退避重试max_retries=3,递增延迟2s-4s-8s-10s,默认fallback文本),get_classify_llm/get_generate_llm模型工厂函数(temperature区分0.0/0.7,streaming开关,统一从配置读取API Key/Base URL/Model),Token预算管理系统(按context_total_budget/system_prompt_budget/history_message_budget/knowledge_context_budget/response_reserved_tokens/history_max_turns_fallback六区划分,estimate_tokens估算中英文混合文本,trim_messages裁剪保留system_prompt+最后一条消息,超限告警);robust_json_parse两阶段JSON容错解析(预处理阶段:直接解析→去markdown代码块→提取最外层JSON对象→去md+提取;修复阶段:尾部逗号正则修复→单引号双引号替换→组合修复,遍历所有候选×修复组合共16种策略,任一成功即返回)",6月2日,6月3日,6
"意图分类体系设计与实现","设计10大类50+子类两层意图层级INTENT_HIERARCHY(human_service含user_request/complaint/emotional/sensitive_operation/ai_limitation 5子类,order_query含order_status/order_detail/order_cancel/history_order/pending_payment 5子类,logistics_query含logistics_progress/estimated_delivery/address_change/carrier_query 4子类,product_query含product_price/product_stock/product_spec/product_recommend/product_compare 5子类,coupon_query含available_coupons/coupon_rules/coupon_unusable/coupon_expiring 4子类,account_query含membership_level/points_balance/address_manage/account_security 4子类,knowledge_query含after_sale_policy/payment_method/delivery_policy/membership_policy/promotion_activity/platform_rule/general_help 7子类,complaint+greeting含hello/thanks/goodbye/chitchat+feedback含positive/suggestion+other含ambiguous/unknown),priority(1/3/4/5)和tool_chain定义;编写_build_intent_prompt()动态生成含优先级排序的意图分类提示词(含关键区分规则:account_query vs knowledge_query/logistics_query vs knowledge_query/order_query vs logistics_query/product vs policy/human_service子类)",6月3日,6月3日,5
"classify_intent_node完整实现","实现意图识别节点(classify_intent_node):指代消解先查看历史将指代词替换为具体内容→LLM分类调用safe_llm_invoke(CLASSIFY_SYSTEM_PROMPT+CLASSIFY_USER_PROMPT含history+message)→robust_json_parse解析LLM JSON输出→提取intent/intent_sub_type/entities/coref_resolved/search_query/suggested_kb_types;实体提取10+字段(order_no/phone/product_name/product_id/courier/reason/sentiment/keywords/topic);子类标准化映射_SUB_TYPE_NORMALIZE(transfer_to_human→user_request,ai_failed→ai_limitation);子类验证(检查是否在INTENT_HIERARCHY中存在,不存在回退到第一个默认子类);意图缓存(仅对has_history=False的首条消息生效,LRU+TTL 300s,缓存key=message+tenant_id,robust_json_parse失败结果不缓存避免错误路由扩散,缓存命中record_cache(True)跳过LLM调用);ai_failed_count连续失败计数(intent=other且sub_type=unknown/ambiguous时+1,成功清零),>=AI_FAILED_THRESHOLD自动转human_service/ai_limitation;kb_types白名单过滤(仅保留faq/product/rule中的有效类型,空则默认ALL_KB_TYPES);record_request_timing分intent统计识别耗时",6月3日,6月4日,7
"LangGraph状态图构建与Checkpoint持久化","定义AgentState TypedDict(18字段:tenant_id/tenant_name/user_id/user_name/channel/thread_id/messages使用Annotated[Sequence,add_messages]/intent/intent_sub_type/intent_priority/intent_entities/coref_resolved/search_query/suggested_kb_types/retrieved_docs/final_answer/user_profile/recent_orders/current_order_id/current_product_id/ai_failed_count,Python3.9兼容NotRequired从typing_extensions回退);构建StateGraph DAG拓扑(START→classify_intent,classify_intent→route_by_intent条件边11条分支:human_service_node/order_query_node/product_query_node/coupon_query_node/account_query_node/retrieve_knowledge/complaint_node/greeting_answer,retrieve_knowledge→generate_answer→END,其余节点→END);route_by_intent实现(11条映射,unknown/missing/default→greeting_answer);AsyncPostgresSaver持久化(AsyncPostgresSaver.from_conn_string返回异步上下文管理器,手动__aenter__保持连接活跃+setup建表,服务重启对话不丢失,get_agent单例+asyncio.Lock防并发竞态双重检查,close_agent在lifespan shutdown调用__aexit__释放连接)",6月4日,6月5日,6
"混合检索系统(RAG)完整实现","ChromaDB向量存储层:租户级UUID隔离Collection,persist_directory按tenant_id分目录,多线程写入(Semaphore限流);Embedding层:加载BAAI/bge-small-zh-v1.5模型(HuggingFaceEmbeddings,CPU推理,HF_ENDPOINT镜像加速),LRU查询缓存1000条TTL 600s(cleanup_interval 120s定期清理过期,threading.Lock线程安全,命中move_to_end实现LRU,超容量popitem(last=False)淘汰最旧),专用ThreadPoolExecutor(2线程embed-前缀,与FastAPI默认I/O池隔离,_get_embed_executor懒加载单例+shutdown_embed_executor优雅关闭,embed_query_cached_async/embed_documents_async使用loop.run_in_executor到专用池);混合检索hybrid_search:向量检索(embed_query_cached→ChromaDB query含top_k+relevance_threshold过滤)→关键词检索(keyword_match_search使用where_document全文匹配,计算partial_match_score,min_hits阈值)→RRF融合(reciprocal_rank_fusion,k=60,按rrf_score降序+keyword_boost关键词提权,支持vector_groups多路);检索参数(retrieval_top_k=5/retrieval_threshold=0.2可配置);retrieve_knowledge_node(多query列表search_query+current_message双路,降级threshold=0.15,vector_groups多路RRF融合,keyword+vector结果合并去重seen_contents,空结果record_retrieval(False))",6月5日,6月7日,12
"回答生成与降级兜底体系","generate_answer_node:获取retrieved_docs→format_docs_for_llm拼接context→答案缓存检查(LRU+TTL 600s,key=message+tenant_id,min_answer_length_cache阈值)→safe_llm_stream流式生成(GENERATE_SYSTEM_PROMPT+GENERATE_USER_PROMPT,streaming=True)→clean_answer输出清洗(移除BANNED_PATTERNS:[1][2]等引用标记+BANNED_PHRASES来源声明/根据知识库等)→sanitize_output安全过滤(系统提示词泄露OUTPUT_FILTER_PATTERNS)→答案缓存写入;greeting_answer_node:区分intent=feedback(直接回复)/other(get_fallback_response兜底)/greeting(LLM友好回复);6大类兜底话术FALLBACK_RESPONSES:工具失败(knowledge_no_result/api_timeout/order_not_found/logistics_no_update/product_not_found/coupon_query_failed/general_error)+AI无法理解(not_understood_1st/2nd/empty_message/too_long/too_short)+安全兜底(phone_detected/id_card_detected/bank_card_detected)+功能限制+情绪安抚+系统异常;安全过滤sanitize_output(OUTPUT_FILTER_PATTERNS正则匹配替换为[内容已过滤])",6月7日,6月8日,7
"订单查询服务与order_query_node完整实现","_do_query_order:调用聚宝赞order-details API(POST /api/v1/ext-merchant/order-details,body={tenantId:resolve_tenant_id映射字符串→int64,orderNo},@retry_on_transient_error max_retries=2,httpx.Timeout可配置ORDER_API_TIMEOUT默认10s);query_order:封装(空order_no返回提示→try调用_do_query_order→httpx.TimeoutException超时→httpx.HTTPStatusError→Exception通用兜底);format_order_result:适配两种响应结构(嵌套{data:{fullOrderInfo:{title,totalFee,...}}}优先,扁平{data:{title,...}}回退),格式化字段(订单号/商品标题/金额¥/订单状态优先级statusLabel中文标签>_map_order_status本地映射/下单时间/供应商/收件人含mask_mobile脱敏138****1234格式/收件地址),子订单列表(子订单号/商品名/规格/数量×/单价¥/发货状态),_map_order_status补充11个状态码(UNPAID/PAID/WAIT_SELLER_SEND_GOODS/SHIPPED/DELIVERED/COMPLETED/CANCELLED/REFUNDING/REFUNDED/TRADE_CLOSED/WAIT_BUYER_CONFIRM_GOODS+大小写兼容);order_query_node:处理订单查询+物流联动(intent=logistics_query时优先从expressList提取→无则单独调query_logistics→格式化拼接物流轨迹)",6月9日,6月10日,10
"物流查询服务实现","_do_query_logistics:调用聚宝赞物流API(POST,body={tenantId,orderNo},@retry_on_transient_error);query_logistics封装(超时/HTTP错误/异常);format_logistics_result格式化(运单号/快递公司/轨迹节点列表含时间·状态·描述/预计送达/快递员电话mask_mobile脱敏);order_query_node中logistics_query联动(OrderDetailsVO.expressList直接提取→单独查询→未配置提示→未发货提示四级fallback)",6月10日,6月10日,4
